solute,model,D_A2_ps,D_m2_s
Water,GRACE SMALL,0.21773602235559428,2.177360223555943e-09
Water,GRACE MEDIUM,0.20378171009984927,2.037817100998493e-09
Acetone,GRACE SMALL,0.44666807449443574,4.466680744944358e-09
Acetone,GRACE MEDIUM,0.44861486598789696,4.48614865987897e-09
Hexane,GRACE SMALL,0.4634445071339883,4.634445071339883e-09
Hexane,GRACE MEDIUM,0.6457330055479947,6.457330055479947e-09
Benzene,GRACE SMALL,0.41965174749978124,4.196517474997813e-09
Benzene,GRACE MEDIUM,0.46289431293044586,4.628943129304459e-09
Methanol,GRACE SMALL,0.2830264592202035,2.8302645922020347e-09
Methanol,GRACE MEDIUM,0.24130937877524705,2.4130937877524706e-09
Water,MACE-OFF23(S),0.22000000000000003,2.2000000000000003e-09
Methanol,MACE-OFF23(S),5.750000000000001,5.7500000000000005e-08
Acetone,MACE-OFF23(S),0.114,1.14e-09
Benzene,MACE-OFF23(S),0.020600000000000004,2.0600000000000004e-10
n-Hexane,MACE-OFF23(S),0.00966,9.660000000000001e-11
Water,Experiment,0.229,2.29e-09
Methanol,Experiment,0.22700000000000004,2.2700000000000002e-09
Acetone,Experiment,0.49400000000000005,4.940000000000001e-09
Benzene,Experiment,0.21500000000000002,2.1500000000000002e-09
n-Hexane,Experiment,0.41400000000000003,4.14e-09
