small_1l,medium_1l,large_1l,small_2l,medium_2l,large_2l
-101.1927177366123,-101.18339912357871,-101.18163761781506,-101.1853423232399,-101.19596913719555,-101.19612953515667
-101.2130254350421,-101.21397750761213,-101.21523810147606,-101.21506194337456,-101.23030810430011,-101.23026688697185
-101.23399545042027,-101.24885728721713,-101.24757299602727,-101.24327629751532,-101.26211647530461,-101.2615753343931
-101.24693707616005,-101.26141854469522,-101.25746309276606,-101.25702542422741,-101.27582955370426,-101.27193948273921
-101.24744957452144,-101.24713939815469,-101.24373114090109,-101.25145372941388,-101.26742807529396,-101.26007884174926
-101.23596082116448,-101.21942243347084,-101.21933795621001,-101.22804161408827,-101.24026425029896,-101.23421622527746
-101.22229166144743,-101.21687899378182,-101.21213580547123,-101.20898162628662,-101.21718435180249,-101.21618795472808
-101.21453062033501,-101.20631830557487,-101.20528292759522,-101.20010826413947,-101.20809710392335,-101.20649785974123
-101.20405804674394,-101.20668328029964,-101.20240673386587,-101.20393836310848,-101.21402979327966,-101.21092524659885
-101.20895588937853,-101.22187402685849,-101.21389128045756,-101.21933265453208,-101.23302958152497,-101.22848085754805
-101.21362750554528,-101.22586055908877,-101.21983112703846,-101.22355846152499,-101.24099306683135,-101.23457156329864
-101.21621625055414,-101.21558270856067,-101.21814282375657,-101.21205935205161,-101.23642067859289,-101.22986012339568
-101.22351760038781,-101.21814296883299,-101.21693786665855,-101.20690000999898,-101.23058747749609,-101.22366081928232
-101.21527456492052,-101.20754880304578,-101.20379927124922,-101.18819212422689,-101.20848965235967,-101.20361234582893
-101.21344268433272,-101.20561100689447,-101.20419605981331,-101.178956222364,-101.19412007408421,-101.19419130409983
-101.22175167717869,-101.21948745186386,-101.22494804939406,-101.19168364447748,-101.20415969573547,-101.20809810754737
-101.22921381059491,-101.23669116039201,-101.24749028520931,-101.21706980605799,-101.22836465649341,-101.23246287180167
-101.26557069370357,-101.26829549689874,-101.27693298395667,-101.26682263698409,-101.2711984763465,-101.27261393284282
-101.26933981182964,-101.28383645294028,-101.29204213980142,-101.28926490565607,-101.29578171486303,-101.29318135123027
-101.25263613435804,-101.278074947527,-101.28880780344699,-101.28422703092406,-101.29285216662892,-101.29102978686727
-101.22653322311045,-101.25584805318668,-101.26663848429988,-101.25913563973145,-101.26836123060265,-101.26984243776597
-101.20336676282683,-101.22429740553103,-101.23185552091543,-101.22342850942023,-101.23259441668445,-101.23608208231111
-101.1891392407551,-101.19807377866748,-101.19702507257416,-101.19099077351379,-101.19900403734277,-101.20203476399269
-101.18573951427344,-101.18017917773743,-101.17590742002278,-101.17582935408439,-101.18327191229744,-101.18499890851949
