small_1l,medium_1l,small_2l,medium_2l
-101.19271773661231,-101.18339912357871,-101.1853423232399,-101.19596913719555
-101.21302543504211,-101.21397750761213,-101.21506194337456,-101.23030810430011
-101.2339954504203,-101.24885728721713,-101.24327629751532,-101.26211647530461
-101.24693707616005,-101.2614185446952,-101.25702542422744,-101.27582955370426
-101.24744957452147,-101.2471393981547,-101.25145372941388,-101.26742807529394
-101.23596082116447,-101.21942243347084,-101.22804161408826,-101.24026425029896
-101.22229166144743,-101.21687899378182,-101.20898162628662,-101.21718435180247
-101.21453062033501,-101.20631830557491,-101.20010826413947,-101.20809710392335
-101.20405804674394,-101.20668328029964,-101.20393836310849,-101.21402979327965
-101.20895588937853,-101.22187402685849,-101.2193326545321,-101.23302958152497
-101.21362750554528,-101.22586055908877,-101.22355846152499,-101.24099306683134
-101.21621625055413,-101.21558270856067,-101.21205935205161,-101.23642067859288
-101.22351760038781,-101.218142968833,-101.20690000999898,-101.23058747749609
-101.21527456492052,-101.20754880304577,-101.18819212422689,-101.20848965235967
-101.21344268433272,-101.20561100689447,-101.17895622236398,-101.19412007408421
-101.22175167717869,-101.21948745186386,-101.1916836444775,-101.20415969573547
-101.2292138105949,-101.23669116039201,-101.21706980605798,-101.22836465649343
-101.26557069370357,-101.26829549689873,-101.26682263698409,-101.27119847634651
-101.26933981182962,-101.28383645294028,-101.28926490565607,-101.29578171486303
-101.25263613435803,-101.27807494752699,-101.28422703092406,-101.29285216662892
-101.22653322311045,-101.25584805318668,-101.25913563973145,-101.26836123060262
-101.20336676282685,-101.22429740553103,-101.22342850942022,-101.23259441668444
-101.18913924075508,-101.19807377866746,-101.1909907735138,-101.19900403734276
-101.18573951427345,-101.18017917773743,-101.17582935408439,-101.18327191229744
